,M,"	Okay, there you go. So that's recording now. Alright, so let's just begin with your first move to Canada. When did you first move to Canada?"
675,M,"	All right, great. And I suppose now at any point if you use any support services, so and I'm talking about NGOs or welfare services or community organizations of religious organizations, were you ever involved with anything like that during your migration journey?"
676,Ol,"	No, no, I'm an atheist as a good leftist. So, I never then there was never involved in a religious organization, not NGOs. The only thing I did is when back so just 14 I started working here. So, I got this job at horizon where I'm working at. I started on March 2014, 2015. Yeah, I've been there, four and a half years. So, March 2015, I started working here, and I got fired from my other job, the HR HR job, I got fired on December 2014. So, between January, February, and half of March, I was under the Employment Insurance Program. Basically if you’re fired without cause there's a layoff or something like that. You can apply and They support you with certain amount. It's a percentage of what you're earning before up to a certain limit. Here's great because it actually, if I didn't have this, this is one of the things this is what I was telling you about taxes and if I hadn't had this, I think would be in Mexico right now. Because we were struggling. We were living on savings like be even even though my wife got a job look like it was a really bad job. Not a bad job was like an entry level job. Almost minimum wage. We had savings and and all that. Toronto is really expensive and you compare it any city in the world, but if you convert to Mexico, it's usually expensive, like back in Mexico. I had a two bedroom apartment and it was paying about, if you converted to Canadian dollars maybe like $400 in a really nice. When we got here we got a one bedroom in downtown for 1600 so it was four times and because that's that's one struggle that we had actually when we got here and actually I think I should mention when we got here we didn't know we didn't know anyone. So, when you apply for to be to rent, place they want you to get a warrant or because you don't have any credit score, any credit history anything. And because we didn't cover until we have to give six months, six months, six months rent. That's a significant amount of money. It was huge for us. It ate not half but about 30-40% percent of our savings. You get it back but promise that you you paid the deposit for. So you get the deposit here. And then this is a year, right? So, in theory, it's six months, right? But you need to create month one, month two, month three, month four, month five, and then the deposit starts counting here. So, you need to pay for six months and then keep paying the rent for the next six months. So, in the lapse of six months, you spent what you would be spending in a whole year. So, and that that sucks. Right now, one of my friends just moved here from his from he was living in Boston. And he was he just moved here, and they were asking you for four months in advance. So, I told him Don't do that. I'll be you want to just please don't destroy the apartment so spoke to me. But I helped him because it's ridiculous when you're moving from a country that it's not this expensive it just it just hurts. It hurts you really bad. We found an option with Scotiabank. Scotiabank has a huge presence in Latin America. So they had an option called smart drivers, it was some program. If you open an account in Mexico, you could move all your money without paying any fees or anything. So what we did we open an account in Scotiabank, Mexico, we just move all our money there. And then the week before we moved here, we just move all the money here. So we didn't pay any fees. That was great. That was one of those great things because if not, then we were basically screwed. That's another thing when I said that its conservative and, you know, elitist. Yeah, because you asking like, okay, you want to move here first, you get points because you have a university degree, you get points because you have experience working, you get points because you all that stuff, you come here to do this thing, you're young, and you need to have money to do this kind of things and all that. So that leaves most of the people who actually need to leave their countries behind. So, I was fortunate enough to have savings, to have a degree to have experience all that, that I was a good candidate for Canada. But if you live in Mexico and you're not by you know, you weren't able to go to school, you weren't able to go to private school and you don't have a good job, you’re screwed."
677,M,"	Now, what are the sort of next steps for you future? What are you going to do now? Like next steps in terms of migration next steps in terms of life course as well? Like, what are you looking forward to?"
678,Ol,"	next steps like a generic next step like life, professional life, profession, and migration. Yes, I'm trying to apply in January for citizenship. And the reason is because in October, we it's two years. I'm pretty sure you know this, but if you were temporary residents before, you're going to remember, isn't it? You can get like a bonus one year from before. So it's one year from before plus two years and permanent residency. And the idea for me and my wife would be, so this up to so in January 2020 we want to apply for citizenship. So that's the migration thing. After that, I might stay here. I want to stay here. I would like to run every like the city. I really like the quality of life. But then again, it goes to who just saying like you. I love living in downtown, because it's super convenient. But so expensive. It says like, the problem with that is that it goes with what we were saying is that you need a, really, really good job which pays a shit ton of money. So it just goes around with I was saying like, if you have money then you get the best of the city, which I'm fortunate enough to have right now. I just think I've been really lucky with my path here. The job that I got the company I'm with when I joined over less than 20 people. Now we're like 60, and I was able to grow with the company. So, I started as a product manager. Now I'm a senior director. So I mean, I think that's, I was really, really lucky to get that. So that gives me the opportunity to live here to earn enough money to to enjoy Toronto. If you don't have any money, don’t have a good job, you have to live somewhere far like Scarborough and you need to take the Go train in the morning and you need to get here and youre commute is like an hour and a half. Know that. So those kind of things is it just goes back to what I'm saying about it's a really embracing culture in the lab, but it's still very elitist. You need money, you need studies, you need to be young, you need to be a certain type of person to actually enjoy the city. I never wanted kids. So this is now. So, as I said, January 2020, is citizenship. We're planning to buy a home maybe this year hopefully. We've been saving through to for example payment. Again, we want to live in downtown so it's even more expensive than I think so we're looking into I think, because we want at least a one bedroom apartment were you talking about like over half a million dollars so so I saw one that I loved was a two bedroom plus den, two bathrooms was a $1 million plus den. You know what, like the you know, like, for example this in my apartment is you enter here. This is the kitchen. Yeah. And we have a sink here and it's open and then you have kind of like the living room/dining room. And then we have a door here and then we have the bedroom and here is the washer. A den is basically a space where it's open. There's no door. And you can use it as a small office or guest room but it has no door. Okay? That's the definition. It's like, Yeah, yeah, it's gonna be mostly for us. So we're gonna be like a small office. Oh, that's what we're looking looking into it so we want to buy a condo. I wanted to be one bedroom, plus den. That's that's my idea. As I said downtown. That's something that I think we have enough money to for the down payment and start something that Let's see, this is really expensive. Professionally, I like my job. So I'm pretty sure I'm gonna stay there for a while. So I would say by professionally, there's no change. No change. But I'm doing side projects. So that's one of the things that have been missing. I started the podcast, yeah. And then continue with that. My goal is to interview 100 immigrants. Maybe after 100 I give up or not, but that's the goal. It's in two years. I wanted to meet 100 people. And I'm also writing. One of my short stories is going to be published soon. It's It's it's a parody of an immigrant from Mexico. So his name is Jesus because it makes it it's a very common name, but it's spelled Jesus. So, people make fun of his name because they know your name is Jesus in, in an Anglophone country, nobody's going to be named never gonna name the baby Jesus. Jesus is very company. He needs to explain love of Mexico that and then he is getting a job interview for an entry level job, but he's very stubborn and arrogant. So he doesn't want to get an entry level job. He thinks that he's the Big Shot. He's been a year without a job because he's looking for the top. Like, he's gonna He's going for the major leagues, but he doesn't have the skills and nobody wants to hire him. And then he gets divorced. It’s a take a very dark humour. Its being published by the immigrant writers association. So actually, if you listen to my first episode of podcast, I don't know if you listen to you listen to the first one. The first one, I interviewed the founder of that.  So it's funny because I started it just from college, I started taking a vacation program in creative writing. And I started writing that as, as part of the, of the school project. And at some point, I became a member of this association and they launched, they were asking for people to submit their stories for because they want to, they wanted to create the first anthology and it was going to be stories about immigration. Like I already have this. I just need to polish it and send it so I worked with some of my friends from school, polished it and sent it. They liked it. And it's gonna be one of 10 chapters in the book. I started writing of a young age, but I never pursue writing as a career. My mom is a writer, my sisters writer. So for me was just like, normal. I also take, I am like an amateur photographer as well. So, I do a lot of those kind of things. So yeah, that's, that's another thing. I'm going to continue pursuing my writing right now. Right now I'm writing a novel as well. So, I'm going to say novel. Yeah. Most of my short stories are like that. And like, I try to make people laugh, but my novel is a sci fi action dystopian novel. So it's a little different."
679,M,	would you consider migration elsewhere?
680,Ol,"	I could, um, yeah, absolutely. I just would do it a little different. I would. I would be, I guess, I guess the difference right now. I wouldn't be escaping from my country. So if I consider something now, I would think a little more and maybe don't go the way I came like, I left everything and lets see what life gives us here. I think if I move somewhere else I would be a little more careful and be like okay I need a job I'm going to go get a job and it has to be something that is really is fulfilling not like the first job I have something that's fulfilling and but I would consider I would completely consider moving and there's places that I would love to move. Mostly Europe, Europe, mostly UK. I would love to live in the UK. London To be honest, is my favorite city in the world. So that I haven't been so yeah, I would imagine it would be great. I've been there so many times. So many like three before four times. But it's still like you think about me like I I don't come from I my family's not wealthy. That also made the first time I left Mexico. I was 27-28 I never left my country and there was 28 years old."
681,M,	And where did you go 
682,Ol,"	Cuba.And then the next time I left was when I was I got married to my wife. And no, no, before we got married, we wanted to cruise to the Caribbean. So, the second time, and then we got more many more here and then I started traveling a lot. But what I'm trying to say is that traveling is are quite expensive. So I never did it when I was young. I never, I always dreamed about we're going to grab a backpack, I'm going to tour Europe with a bag, but I never did that. So now when I travel, I travel with a backpack but it's different because it's now because I know that I have a job that I'm coming back to a job at the time. It's like I'm just gonna grab a backpack in travel the whole whole Europe and maybe Asia for for a year and see what happens but never never did it. Yeah, but yeah, I would consider migrating but it just would be a little more. I wouldn't say careful because I think it was careful with me here. I think it would be more picky in the sense that it has to be a place that I really want to go, and I need to get a job I really want. And that's like kind of like I actually got a job offer a few months ago for the US, California, And I said no. Two things first, I didn't I didn't want I don't want to leave before I get my citizenship and also in the United States, and it's not a good time to be Mexican in the United States, even though I don't have Mexican. And my accent is, I have an accent but its not that Mexican-ish. So I will be okay. And it's California. I completely get it. But still the US. I don't want to live in a country where you have Trump as president."
683,M,"	I mean, if you if you have nothing else to add, but I suppose I have I always have this final question when people draw a map. How do you feel looking at all of this now?"
684,Az,	last year August -2018.
685,M,	And what were the motivations behind you move?
686,Az,"	Love. My husband, hes here. We had the option of because I had a great career and focus on so we had an option for him to either keep coming down and visiting me while I was working in history in my career. But I just felt that that would be like, you know, we would have been like a year or two into our marriage and then I would move here and it would be like we're starting. I think it would just have mixed up our timeline. So I just decided to create a new year. "
687,M,"	Alright, and yeah, what was the work that you were doing that what's your professional background? "
688,Az,"	So, I work in non-profits. I started one of Pakistan's largest non-profit networks, which is called the free and fair election network which is based on democracy and governance. I worked in that area…the non-profit area for about seven years. I went to the States to study going back to Pakistan. I worked with a corporate for three years and innovation, digital innovation and change management. Then I moved to a news channel Hum News and I joined as an anchor person. But while I was there, I had met my husband, so I realized I probably wouldn't be able to go through and it was wrong to the channel. So, I changed my role. Oh, and so I was heading the Research Unit over there. "
689,M,"	Oh, that's amazing. And what did you study like in terms of your education, oh, and "
690,Az,	my masters was an MPA - public Administration with a concentration in politics and my undergrad I did development studies with a major in gender studies and minor in economics. 
691,M,	So this was all in the States?
692,Az,	No just my Masters was in the states.
693,M,	and what are you doing now in terms of work? 
694,Az,"	So I moved here in August I got my work permit in March and after that I started my own organization company which I do photography, graphic design using the photography I've done, and digital marketing for small to medium organizations and I give them the compete the face over basically a facelift. So I help organizations manage their customer experience based on the digital experience. "
695,M,"	Oh, that's amazing. And so it's a lot of like, it's your own business to run the restaurant business. Okay. Awesome. And what about your husband? Like, I mean, so can you tell me a little bit about him where you met him? "
696,Az,"	Right. So, he is here. He has his tutoring business with his brother so they do. They help McGill and Concordia students on their undergraduate students – their ubndergrad business students. How we met is our parents. His mom and my mom. Have a common friend, she introduced us to like she told them about us and then our moms just introduced us. They we just gave us each other's numbers. And from then it was our story. "
697,M,"	Oh, great. And how long have you been married for now? "
698,Az,	A year 
699,M,"	Okay. So Did you know Did you were you I mean, considering that you studied in the states before? Were you considering perhaps living elsewhere outside of Pakistan for the rest for your life? "
700,Az,"	Yeah, yeah, I was already looking at Canadian immigration because I came here for about three months and 2017, I liked it. And I thought I might move but I and I was in Montreal for only three days. So, it was a consideration but my first preference was the states. Right. But once you've left, getting back in with a job is more difficult than yours there as student and continue to find work. But yeah, I think Just it worked out. I was going to apply for a Canadian immigration anyway. "
701,M,	And could you have lived in the states the time you studied there? Like could you have actually moved on to another visa and stayed there? 
702,Az,"	No, I was on a Fulbright scholarship. So all right, I gotta go back. "
703,M,"	Yeah, yeah. Okay. Okay, great. Tell me a little bit about your family and their role in your move. I mean, considering I'm introduced you kind of Yeah. "
704,Az,"	Yeah, no, my mom always knew that. I wouldn't like none of us lives in books. And my brother lives in London, UK. You have to say that here because it's London, Ontario as well. My sister lives in Melbourne. So, even when I moved to the States, she knew that I wouldn't probably go back to Pakistan. one in every continent. One in every time zone. So, my father passed away when I was seven years old. And I've been raised more by my mom single handedly. So I'm a product of hermevery way. So yeah, So I am…I am the closest to my mom. My brother, my sister. Left, got married left, got married and left when I was in my teens. my brother left when I just shortly after I turned 20 I think so. Yeah. So it's mostly just been me and my mom."
705,M,	 And do you have any friends or community here before you move? I know you had your husband.
706,Az,	In Toronto I had family. Yeah. My uncle and his kids daughters who I’m very close to so I had them but nobody in Montreal. It's the only family we have in Montreal is my husband’s brother and his wife. 
707,M,"	Okay, great. There's some family. That's good. And in terms of the initial visa process, how long did that take? "
708,Az,"	Oh, actually, well. I already had a visit visa for this 10 years when when because I had come here earlier. So I already had that and when I got here, we just applied to change that"
709,M,	And did you have to tell like was there? Did you have to let them know that I'm coming? Or you could just know by side? 
710,Az,"	Well, initially, when I came here, we had actually thought that I'd come here, I would have a look. And then I would still decide if I wanted to just go back. So the initial one was actually a visit. So I did come on a visit visa. And then when I came here, i came early summer, so that's a good time to come to Montreal. Just grew on to me, and then I contacted my work people and everybody and I was just like, I think I'm going to stay here. I don't think I'm going to go back. So and we just checked if it was legal for me to do that. And it was so that "
711,M,"	Oh, that's amazing. So pretty much right after you got married you. "
712,Az,"	Yeah, like within a week. Yeah. Oh, that's amazing. And you're you got married in August. Yeah, yeah. "
713,M,"	Okay, great. And last name in this question is basically about this research project is about skills migration. You don't have to be on a skilled visa like I clarified before, but how do you consider yourself to be skilled."
714,Az,"	Yeah, I did. I did do like when I was applying for the immigration initially, I did do the skills thing. So, I think I used to score something like, for Canada, I don't know what the minimum is. But it used to be something like 150 to 160 points, which was well above the average mean. So, I don't know what that means. If that answers your question. Okay, So in that sense, like, because I have a very diversified portfolio of work, so I don't have like, I don't I don't think I'd be able to say like, I have a skill in like carpentry or so but I do have like very strong editorial analytical skills. I have writing skills. I write a blog for one of these non-profits which works on mental health. I'm working with this other non-profit which works with foster children. So I helped to give them life skills such as just being a budget and you know, preparing the resume. So, I have those I have. I have mentoring skills. And so yeah, because I'm more of a generalist, it's something that I can I can fit in a lot of areas, basically. Yeah. So, I don't know, if I start to list them down. I feel like it's gonna be kind of like tooting my own horn. But also I know that it's multifaceted. Right so like I mean domestically I think it's I pretty much do everything I can I change the bulbs. I can I cook I clean? It's a Yeah, I don't think there's except for like heavyweight. I'm pretty adept at everything that goes on in our place. I'm also one of those people who changes like the electricity voltage things and like makes a three pin plug to a two pin plus do that stuff like that. So that and technologically I'm pretty good technologically just get it mixed up. So I like that's a natural inclination to it."
715,M,	And what's the married life dynamic like living away from home? away from home? 
716,Az,"	I don't think I feel that too much because I just I was very independent when I was home as well. So if you like, yeah, my mom came to visit and that was good. She was here for a couple of months. And that flew by pretty quickly. So I feel like I was already living one person then now I'm still living with one person. It's just different in the sense that this person I'm getting to know more and more every day. Yeah. And because he's a guy and I feel like in all of my childhood, because my father also passed away pretty early on the only male presence, I had was my brother’s. And he also left pretty early on like when I was just 20. So I don't really remember much about guy habits. When I moved here I was very like, interesting to me. And I thank God that I have a brother because when I used to visit his house in London like over the summers I get I'd start to clean up this place and then I'd have to stop myself that I'm on vacation and I'm here to do this. So, women generally I feel like just have a natural inclination to be more organized and more clean or like keeping a place a pretty good. Yeah, so what I moved here like my apartment was full of boxes. And I asked my husband if he just moved in. And he said, No. And he had told me before he came that he was cleaning up the apartment and because the lease was ending, so I thought he packed it up. But it turns out, that's how it used to be like, forever. There was just boxes everywhere. And, and I also realized that he has a very different way of organizing things. So, this is the closet. It's a closet. Now, it doesn't matter if it's in the kitchen, or the room or the bathroom. It's a closet. So, you will find things which will be like, Why is this here? And then you realize it's a closet, it doesn't matter where it is. So, there would be things completely like the kitchen drawer would have like tools in it, and I’d be like shouldn’t this be anywhere else except here. so I realized like it was a bulb which went off in my head when I realized  that for him a drawer is a drawer. It's not where it is. It's just a drawer. It's a place to put things. So he, in general, he does agree that he's a bit weak at organizing, but he but for me, that was a completely new way. So I realized like, and for him, like, if it was messy, and he was fine, you know, he didn't really like even if it was a bit dirty. He was still fine. It didn't really matter to him basically. "
717,M,	 So and your husband's from Pakistan as well. Yeah. Yeah. 
718,Az,"	But he lived there for like, I guess. Max 10 years of his life. Yeah, he's been he was in America, and then he moved here. "
719,M,"	So awesome. Great. Okay. So we'll go into the mapping part of it. I do want to clarify that at any point, if you don't want to answer something, or you think that you want to remove that from the transcripts, that's completely fine. We can do that as well. Okay. So, all right. So I'll basically as You two questions and you will just draw it out. And then this whole thing will be recorded, and we can talk through you talk through your drawing. Okay? The drawing is completely up to you; however you want to do it. So from the initial sort of point of leaving Pakistan, I I in your case, I suppose it is about going to study as well in the US, right? "
720,Az,"	Well just to mention I grew up in Africa. So, I moved to Pakistan when I was eight years old. So, for me Pakistan never really felt like home. "
721,M,"	Excellent. So let's put that on the map as well. So let's just talk about all of the places that you've been and all of the kinds of statuses like the visa status that you've been okay, I guess that's Let's begin with that. "
722,Az,"	Okay, so all right. So lets just make like...That's Africa. That is Asia.. Here is your Australia and I have no clue what North America looks like it says this big blob over there. So, here is my.. Botswana. Yeah. And then here would be Pakistan…here is going to be Philly and then we're going to move Montreal so those are the four countries well that's a city where I have lived in USA, Canada should be in red. Okay, so that's that's Africa. Yeah, Asia. So, in Botswana I was there for zero to seven years. Pakistan, I moved in 1992 to 2011 and then from 2013 to 2018. Philly is 2011 to 2013. Canada is 2018 to now. "
723,M,	Excellent. This is such a great representation and loving it already. So you grew up in Botswana because your family was there?
724,Az,"	My father was working there before I was born. my mom was expecting me. So he moved there, and he thought it was was good. and then he was able to call us. So I was still like about three months or so when we moved there."
725,M,	So yeah. And do you remember like what it was like? 
726,Az,"	Oh yeah, I went back in 2012 to volunteer there. "
727,M,"	Oh, you do. So yeah. Oh, that's amazing. Awesome. All right. Okay, now we'll talk about your sort of migration journey. I suppose this might have to do more with your education in the US and also with Canada and moving so I wanted to ask you about commercial services that you used throughout. So, things that you paid for, which are legends, lawyers, document translation services, language tests, internships, anything that you had to pay for in your move, maybe more recently, maybe either Canada or both Canada and us."
728,Az,"	Okay, so here [Botswana] it was not paid for. Yeah. Okay. And over here. This part is also not paid for [US]. Yeah, because you're Yes. And this part when I got to get here  - GRE. And the TOEFL. GRE is to get into any school and TOEFL is because even if you had an English medium education, you're going from Pakistan so they need to be able to tell. So at some point, though, I know that I did take the IELTS X 2. Once way earlier when I was thinking of immigrating to Australia in around 2009, I think okay. And once I took it right now, when I was thinking of coming to Canada So I was twice because that's a requirement for Yeah. And then when I moved to Canada, we consulted with the lawyer twice. But I did all the paperwork myself. So just a lawyer fee, which was, I don't know, $200 for 100 for every time so it wasn't too much. So yes, but every country I have visited in my life. Yes. Okay. Visits is equal to visas paid for. And that would be about – because it’s a Pakistani Passport. So I pay for every country's visa, right. So it's going to be at least.. I paid for at least like 30 countries..30 times. So that's a cost, but I have never consulted anybody for paperwork. That's only in Canada – background checks. Because of my immigration. That's all because to the US, I was on a scholarship from the US Department. So, I got waived for a lot of the costs than anybody else was going to the US to study…they would have many more of the loops and hoops. So, for me till now it's the lawyer, the police, The medicals, not yet, if they asked me it's not necessarily for everybody. When you do your PR it's a spousal one so it depends. Some people …they skip. Oh, yeah, I did do it. For the Australian visa I did do the medical test for the visit visa. No, they made my mom do it. Not me. "
729,M,"	Okay, and what about the immigration to Australia? Like, did you like what happened to that? Cuz considering that you were thinking a move in 2009 I got the in 2010. "
730,Az,	In 2010 I got the scholarship. So that fell through. 
731,M,"	Okay. All right. We'll move on then. Tell me about the role of technology in your migration. And what I mean is everything that you use tech for. So online searches, what resources you used, what social media you used, your own a particular groups. Also what technology you use. Today maybe to navigate in a new place you know."
732,Az,"	So, all of this - 1999 onwards is all tech dependent. If there wasn’t tech, especially in particular internet, I wouldn't be here basically. So what I use right now - let's go backwards because it's more fresh - Now I use Facebook for Canada spousal group, spousal support group. Its excellent. Nobody posts any junk on there. Then theres an online support group. These guys on online support group you can just post a random question and but you may or may not get an answer back I'm forgetting what the name is but it's anonymous support group “apply Canada immigration” something like that yeah some days it comes up as a first search what you do it. After moving here or even before moving here so always flights are always looked up online, flighthopper is a great tool, visa requirements are always looked up online, college applications, full bright application, undergrad, all of that work, Almost, except for the employments I created myself on the, job applications. Even like when you find your way just general maps Yeah. Kajiji for a lot of shit. Even if like right now like the blog I work for a link to community management stuff that I do. I helped organize it's all Online. So, it's because I'm new in the city and I don't know many people. So, everything that we are finding and my husband is more of an introvert he doesn't know a lot of people. So, everything I do is like, by going online, do it. So if I didn't, that's what I feel like I feel like if I don't even understand how women did this by doing these moves before us. Like I don't know what they went through because they'd write home a letter in the received one like a month later. So I just absolutely have this amazing respect for what they’ve actually been through. If you're depressed. Are you looking for something else? You do this? You know? That's where you turn to either. Just place a search. The world's at your fingertips? Absolutely. So for me if there's no net, there's no life, basically.  I mean, I met some people somebody, like, met through the net. I found like a job fair. I'm coming back and I'm going forward. So on the job for found one, I made one lead and went to one of their sessions. And that led to two leads. And that's how I think it goes through basically. So that's one and then one of the social works that I do. I found it was recommended by a friend who knew about them – Vent over tea. I love this place. Its mental health places. Basically, you go online, you book a venting session with somebody who's trained in active listening and you get an hour. I write a blog for them. "
733,M,	And do you think that language plays a role here because considering that Montreal being a very French part of town…
734,Az,"	I think when you're new here you think that French is absolutely essential. As you leave here more and more you realize it's not that essential. You see job opportunities and you get disheartened because most of like all of them always say bilingual, but you realize that through experience that is by law, there are required to write that on job descriptions. When they write bilingual they are actually looking for somebody who speaks English. So, but I have learned French. I am still learning and I manage to have a basic conversations like shopping in French, I can talk to people, I can tell directions, like shop for groceries or anything I need. So yeah, I think I've picked up the language"
735,M,	Great okay and where do you learn French? 
736,Az,"	Oh, so first I was here at the YMCA for like two months and then I realized it wasn't helping me much. Then I joined one of the we works and that was all right. Now I move towards more government different places so I go to of archives national Quebec what's called a bank OBNQ. So, I go there for classes which are free once a week, which are only in conversation for French. And then I do at Dawson college, I go Mondays Tuesdays. The Dawson ones are not free, but they're almost like, what they asked for is very small. When I went to the summer, to the ones which the government offers, they told me my work permit did not qualify for it because it's an open work permit. But somebody I met just now. [Draws] This has saved my life. One of the persons told me that now they do accept it. So because she has just started it. So I feel like the meetup groups really helped. Again, I think if there weren’t meetup, I wouldn't have found a lot of people in a lot of places. The friends I did make though, I found them in my French classes. And so I just feel like the one or two people, friends in recommended, like, oh, you're going to Montreal. You know my sister lives there. And I was already a bit like, because I know me and my sister were poles apart. So, if somebody is her friend, most likely they're not gonna my friend and vice versa. Somebody who recommended me their sister and when I met her, I was just like, I'm friends with you, not your sister. I just it's not necessary. But another friend of mine, his sister moved here and we got along pretty good. So I think it has to do with the fact that he's a male and she's a female. "
737,M,"	So I mean, I thought was kind of going to go into the next question that I had is about social connections so friends, family or greater community that have supported you in your move here. And if there's anything that from there that you want to put on your map"
738,Az,"	So I feel like I am a very independent person. I have always been a very independent person and everybody was, more than advice, everybody was very sure that I'd make friends in no time and then again, you know, I'd be on my feet. When I moved here, I thought I would need friends. But initially, I didn't want to be friends, like look up or go seeking friends. Like, I just wanted to be on my own. Because it was not just a physical, geographical change, but it was also change in my marital status. So I wanted to, you know, understand the dynamic of this relationship I was going to be in. Nobody hands you a JD for how to be a wife. What is it going to be like. And you just pretty mimic what your parents did. That’s the only training manual you have. So, I feel like it would be very helpful if my husband has been more supportive, okay. And I feel like he should have had some tools to help him understand what I would go through…for example, well, because he has his life going on here. And, of course, nobody's asked to reorganize all his life here. But he, to understand that his presence would be important, and in a meaningful way, not just being physically present mentally absent. So I feel like something like that would have been very helpful for me. And if he had, I do believe that if he had known about a resource like that, he would have reached out to me before I came, so that just give me an idea."
739,"[I'm gonna make a start up along those lines. So I'm thinking about multiple things think that you can use this paper if you want. Okay? Actually, I do keep making notes. So I'm just because I create things myself. That's what I do.]",
740,"So I think that's a great resource as well as for anybody who's new, for partners. So before they come in here, because it's it's like I had to find everything, you know, and because I'm a woman, like he just showed me like, heres the pharmacy, heres the grocery store. And the rest was just like, I'm going back to work. So who do I meet? Like, you know, and I feel like also because his and my personality styles are so different. Like, within one year, I feel like I've almost made more friends than he would even like to have, you know what I mean? Because he doesn't have many friends and his friends are not necessarily going to be my friends. And I would rather not because I would like him to have his time doing his thing. So yeah, so I think that it's just really important that does have to be and for me, I didn't know who to reach out to, if I needed support. So even when I went online, I didn't like and it's also I think some of the part of you doesn't really want to admit that you want support. Yeah. So you're, you're not willing to do that in the beginning. So yeah, so it's like any place it's not easy to move to a place when you when you're somebody who's used to having a like a full schedule, and like work, you know, all engines burning basically. And then you just move in this all really down to zero and you also have a perception that it's all French. But it's not. But for me, I like the French perception because it's kind of pushed me into learning a language I always wanted to learn anyway. And for me, it's not just to learn language I can get along it's for me to it's more like to read more books or literature in French and actually get an understanding because it just opened up a whole new world so I already do write like small stuff in French and I manage all right, because I write stories so I write those in French and I find myself thinking in French already. So yes, so language does play a role and I feel like either you would embrace it or let it deter you, and it's all up to you. ",
741,M,"	And did you actually have these conversations with your husband that, you know,"
742,like in terms of support and in terms of ,
743,Az,"	Yeah, I feel like he does agree that he could have done a better job, but how he could have done it. He could he doesn't know. And so I don't blame him for that. We’re both lost. "
744,M,"	But anyway, alright, cool. Um, how did your decision to move? But I suppose you've kind of answered that before. But do you have a very close connection with your family? And did that affect your mom, for example, that you were moving and "
745,Az,"	My mom somebody who's like, I know that it didn't affect her, but she had, even when I was there, she had a routine. She has a very strong network of friends and family and she's she's…And she did 2 years without me any way. Two years without me when I was in the States. So she kind of like, already knew that. But the thing is, when I was in the States, she was still working. And she retired the year I got back. So, for her, but she still is very regimented. So, she’ll get up at a certain time every day. She has her whole routine. So even when I was in Pakistan, like, if I came back from work earlier, she was like, okay, you're home, but I have things to do. So, we're going to sit together at the time we sit together every day. So, like, and that was good to see because it just showed me that she's going to be fine without me and she is so she's a very, she's a she's a very strong and she's she's because she's so independent. She's always promoted us to be like, you know, raised us to be very independent individuals as well. "
746,M,"	So that's great, okay. All right. So I suppose the mapping part of it is is kind of done."
747,"I do have some more questions that you can potentially think about putting on your map. First, these regulatory aspects of your migration you did talk about police checks and you have put it already but any other government requirements that you have to fulfill so characters or points or health or immigration forums or anything that was kind of very government based that you had to let do get ",
748,Az,"	We did have to get like there was one stamp on our because we got our Nikanama in English as well. But there was one stamp in Urdu which we got translated. So, and the guy was like, very sweet. He's didn’t even charge us for it. We didn't even know him. We found him online. But he just said, we also wrote for him but the translation was, so he just had to stamp it. That was here. I mean, we did have to go through Of course, we had to do the PR papers, the PR paperwork and the work permit paperwork. "
749,M,	So the PR paperwork and the work so what's your status now? Are you on a work permit only or PR? 
750,Az,"	My PR is approved in principle. Its called AIP and work permit is to 2021 which means my extension to stay and stuff I have my driver's license, health card everything by now. It took it's time, but it's here now. The paperwork itself is this one is the worst paperwork I've done in my life. I could have applied to five universities in that one paperwork – that’s how much it was because we've been married for less of less than a year when we applied we had to actually prove that this was a legitimate real marriage. It wasn't just done for the sake for getting an immigration. So, we had to give them like photos and they have a cap on photos so we had to be really like smart about the kind of… we had to thik really out of the box in terms of what we give them.. like actual evidence so like we give them photographers contract for the wadding, we gave them permission slips for wedding shoots. The good thing about Pakistan is now that it's pretty becoming pretty regimented and people give you like receipts of the cake, the wedding catering, and everything. So, we had that, and  everything's in English. So we gave them the gym membership for here and then you know that we're both coming here together, opening a bank account they needed…they had absolutely required a joint bank account and me being on a Pakistani passport on a visit visa none of the banks was actually giving us that because they're just like, No, we don't give it to visitors even for joint, so that was like such a catch 22 because we just kept going round and round and I didn't even know which banks were here and then just searching that and thinking out of the box kind of thing. And I basically I think I thought of that only because I had lived in the US and I thought okay they should be able to give me a bank account based on my own nationality and sort of my visit visa and that's how I thought of like an International Bank. So this paperwork’s a bitch, I swear, we have had so many fights and doing this and almost when I went on the support group page, all couples have had fights doing this so we were thinking they should put a checkbox underneath and saying, how many fights did you have one completing this because you're not gonna do this for anybody unless you really love them to be honest. It's that bad. And even though I’m doing inland I think Outland I don't know how land is because you stay away from your spouse most likely for like two years and that is probably hell added on hell. For us because I was hearing a reason you can only set stay at six months stretch. So the deadline was approaching. So it was more like we do this or goodbye. So we were able to like keep our eyes on the prize in terms of like, No, we mean more than the paperwork. This is a mountain a molehill, and a mountain in the way, and because we've been another long distance relationship for six months before we got married, so we, we'd already done that, and we didn't want to go through that again. "
751,M,"	Are you are you on top of immigration policies do follow news, the regards to immigration policies? And do you have anything to say about that? No, no, I didn't really follow them. I was."
